1,0,1,110,0,0,150
1,1,2,118,165,0,130
1,2,0,116,145,114,125
1,0,0,0,0,126,0
1,1,0,118,140,118,123
1,0,0,0,120,105,138
1,0,0,0,0,96,113
1,1,0,138,163,130,140
1,1,0,115,153,0,0
1,2,2,0,145,139,185
1,1,1,126,138,105,133
1,0,0,120,160,109,150
1,0,0,0,133,98,108
1,0,2,0,0,115,140
1,2,1,115,158,0,135
1,2,0,112,115,93,140
1,1,2,133,168,126,158
1,1,0,118,180,116,148
1,1,1,123,0,110,155
1,1,1,100,0,101,120
1,1,1,118,138,0,110
1,0,0,103,108,0,0
1,1,2,121,155,0,100
1,0,2,0,0,0,0
1,0,1,0,0,104,118
1,0,1,0,0,87,85
1,0,0,0,0,0,63
2,2,0,88,85,76,78
2,0,0,0,98,114,133
2,2,2,108,103,90,100
2,2,2,113,0,95,115
2,0,2,0,65,97,68
2,2,2,118,0,0,0
2,2,0,92,0,0,0
2,1,2,90,0,110,0
2,0,0,98,123,96,88
2,0,0,113,110,112,115
2,0,0,102,130,114,120
2,2,0,89,113,130,135
2,2,2,90,80,91,75
2,0,2,0,0,109,88
2,1,1,75,63,88,73
2,1,0,93,0,0,0
2,0,2,0,0,115,0
2,1,2,123,170,115,138
2,2,2,114,130,104,123
2,2,2,0,0,113,123
2,2,2,113,0,0,0
2,0,0,117,0,82,103
2,1,2,122,0,114,0
2,2,1,105,0,0,0
3,0,2,98,110,112,103
3,1,1,127,138,92,118
3,0,0,113,0,0,0
3,0,0,107,93,92,75
3,1,2,0,0,101,0
3,0,2,0,0,87,98
3,2,2,114,0,0,0
3,2,1,56,58,88,105
3,1,2,96,95,87,100
3,2,0,126,135,118,133
3,0,0,0,0,130,195
3,0,2,0,0,116,0
3,2,2,64,45,82,53
3,2,2,128,0,121,0
3,1,0,0,120,108,118
3,0,2,0,0,100,140
3,1,1,105,138,74,75
3,0,0,88,118,84,103
